Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Polska;King;2005-01-21;10777;224.00
Niemcy;Leverling;2005-01-14;10779;1335.00
Niemcy;Davolio;2005-01-19;10788;731.50
Polska;Sowiński;2005-01-01;10791;1829.76
Niemcy;Leverling;2005-01-08;10793;191.10
Polska;Sowiński;2005-01-02;10794;314.76
Niemcy;Callahan;2005-01-20;10795;2158.00
Niemcy;Leverling;2005-01-14;10796;2341.36
Polska;King;2005-01-05;10797;420.00
Niemcy;Fuller;2005-01-05;10798;446.60
Polska;Dudek;2005-01-05;10799;1553.50
Niemcy;Davolio;2005-01-05;10800;1468.93
Niemcy;Peacock;2005-01-02;10802;2942.81
Niemcy;Peacock;2005-01-06;10803;1193.01
Polska;Sowiński;2005-01-07;10804;2278.40
Niemcy;Fuller;2005-01-09;10805;2775.00
Niemcy;Leverling;2005-01-05;10806;439.60
Niemcy;Peacock;2005-01-30;10807;18.40
Niemcy;Fuller;2005-01-09;10808;1411.00
Polska;King;2005-01-07;10809;140.00
Niemcy;Fuller;2005-01-07;10810;187.00
Niemcy;Callahan;2005-01-08;10811;852.00
Polska;Kowalski;2005-01-12;10812;1692.80
Niemcy;Davolio;2005-01-09;10813;602.40
Niemcy;Leverling;2005-01-14;10814;1788.45
Niemcy;Fuller;2005-01-14;10815;40.00
Niemcy;Peacock;2005-02-04;10816;8446.45
Niemcy;Leverling;2005-01-13;10817;10952.84
Polska;King;2005-01-12;10818;833.00
Niemcy;Fuller;2005-01-16;10819;477.00
Niemcy;Leverling;2005-01-13;10820;1140.00
Niemcy;Davolio;2005-01-15;10821;678.00
Polska;Sowiński;2005-01-16;10822;237.90
Polska;Kowalski;2005-01-13;10823;2826.00
Niemcy;Callahan;2005-01-30;10824;250.80
Niemcy;Davolio;2005-01-14;10825;1030.76
Polska;Sowiński;2005-02-06;10826;730.00
Niemcy;Davolio;2005-02-06;10827;843.00
Polska;Dudek;2005-02-04;10828;932.00
Polska;Dudek;2005-01-23;10829;1764.00
Niemcy;Peacock;2005-01-21;10830;1974.00
Niemcy;Leverling;2005-01-23;10831;2684.40
Niemcy;Fuller;2005-01-19;10832;475.11
Polska;Sowiński;2005-01-23;10833;906.93
Niemcy;Davolio;2005-01-19;10834;1432.71
Niemcy;Davolio;2005-01-21;10835;845.80
Polska;King;2005-01-21;10836;4705.50
Polska;Dudek;2005-01-23;10837;1064.50
Niemcy;Leverling;2005-01-23;10838;1938.38
Niemcy;Leverling;2005-01-22;10839;827.55
Niemcy;Peacock;2005-02-16;10840;211.20
Polska;Kowalski;2005-01-29;10841;4581.00
Niemcy;Davolio;2005-01-29;10842;975.00
Niemcy;Peacock;2005-01-26;10843;159.00
Niemcy;Callahan;2005-01-26;10844;735.00
Niemcy;Callahan;2005-01-30;10845;3812.70
Niemcy;Fuller;2005-01-23;10846;1112.00
Niemcy;Peacock;2005-02-10;10847;4931.92
Polska;King;2005-01-29;10848;931.50
Polska;Dudek;2005-01-30;10849;967.82
Niemcy;Davolio;2005-01-30;10850;629.00
Polska;Kowalski;2005-02-02;10851;2603.00
Niemcy;Callahan;2005-01-30;10852;2984.00
Polska;Dudek;2005-02-03;10853;625.00
Niemcy;Leverling;2005-02-05;10854;2966.50
Niemcy;Leverling;2005-02-04;10855;2227.89
Niemcy;Leverling;2005-02-10;10856;660.00
Niemcy;Callahan;2005-02-06;10857;2048.22
Niemcy;Fuller;2005-02-03;10858;649.00
Niemcy;Davolio;2005-02-02;10859;1078.69
Niemcy;Leverling;2005-02-04;10860;519.00
Niemcy;Peacock;2005-02-17;10861;3523.40
Niemcy;Callahan;2005-02-02;10862;581.00
Niemcy;Peacock;2005-02-17;10863;441.15
Niemcy;Peacock;2005-02-09;10864;282.00
Niemcy;Fuller;2005-02-12;10865;16387.50
Polska;Kowalski;2005-02-12;10866;1096.20
Polska;Sowiński;2005-02-11;10867;98.40
Polska;King;2005-02-23;10868;1920.60
Polska;Kowalski;2005-02-09;10869;1630.00
Polska;Kowalski;2005-02-13;10870;160.00
Polska;Dudek;2005-02-10;10871;1979.23
Polska;Kowalski;2005-02-09;10872;2058.46
Niemcy;Peacock;2005-02-09;10873;336.80
Polska;Kowalski;2005-02-11;10874;310.00
Niemcy;Peacock;2005-03-03;10875;709.55
Polska;King;2005-02-12;10876;917.00
Niemcy;Davolio;2005-02-19;10877;1955.13
Niemcy;Peacock;2005-02-12;10878;1539.00
Niemcy;Leverling;2005-02-12;10879;611.30
Polska;King;2005-02-18;10880;1500.00
Niemcy;Peacock;2005-02-18;10881;150.00
Niemcy;Peacock;2005-02-20;10882;892.64
